Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2021-08-18 14:30:00,2021-08-18 14:30:00,18645,25,0.00134264232008593,18620,18600,18660,815
2021-08-18 14:00:00,2021-08-18 14:00:00,18620,20,0.0010752688172043,18600,18600,18645,666
2021-08-18 13:30:00,2021-08-18 13:30:00,18600,30,0.00161550888529887,18580,18570,18620,361
2021-08-18 13:00:00,2021-08-18 13:00:00,18570,-60,-0.00322061191626409,18625,18570,18660,408
2021-08-18 12:30:00,2021-08-18 12:30:00,18630,70,0.00377155172413793,18565,18540,18670,717
2021-08-18 12:00:00,2021-08-18 12:00:00,18560,-55,-0.0029546065001343,18615,18545,18660,510
2021-08-18 11:30:00,2021-08-18 11:30:00,18615,20,0.00107555794568432,18590,18565,18635,429
2021-08-18 11:00:00,2021-08-18 11:00:00,18595,-55,-0.00294906166219839,18655,18555,18660,440
2021-08-18 10:30:00,2021-08-18 10:30:00,18650,-35,-0.00187316028900187,18680,18605,18680,532
2021-08-18 10:00:00,2021-08-18 10:00:00,18685,-85,-0.00452850293020778,18755,18670,18765,514
2021-08-18 09:30:00,2021-08-18 09:30:00,18770,35,0.00186816119562317,18735,18690,18840,1115
2021-08-17 17:00:00,2021-08-17 17:00:00,18735,25,0.00133618385889898,18705,18590,18735,6054
2021-08-17 16:30:00,2021-08-17 16:30:00,18710,-55,-0.00293098854249933,18775,18670,18785,738
2021-08-17 16:00:00,2021-08-17 16:00:00,18765,-80,-0.00424515786680817,18845,18735,18870,1627
2021-08-17 15:30:00,2021-08-17 15:30:00,18845,0,0,18845,18800,18865,898
2021-08-17 15:00:00,2021-08-17 15:00:00,18845,125,0.00667735042735043,18730,18725,18845,1312
2021-08-17 14:30:00,2021-08-17 14:30:00,18720,10,0.000534473543559594,18710,18675,18745,794
2021-08-17 14:00:00,2021-08-17 14:00:00,18710,0,0,18705,18690,18720,541
2021-08-17 13:30:00,2021-08-17 13:30:00,18710,5,0.000267308206361935,18705,18680,18730,418
2021-08-17 13:00:00,2021-08-17 13:00:00,18705,-20,-0.00106809078771696,18720,18705,18765,905
2021-08-17 12:30:00,2021-08-17 12:30:00,18725,10,0.000534330750734705,18715,18665,18730,830
2021-08-17 12:00:00,2021-08-17 12:00:00,18715,15,0.000802139037433155,18700,18655,18745,984
2021-08-17 11:30:00,2021-08-17 11:30:00,18700,120,0.00645855758880517,18585,18585,18710,1624
2021-08-17 11:00:00,2021-08-17 11:00:00,18580,40,0.00215749730312837,18535,18515,18585,613
2021-08-17 10:30:00,2021-08-17 10:30:00,18540,-25,-0.00134661998384056,18560,18495,18580,1042
2021-08-17 10:00:00,2021-08-17 10:00:00,18565,15,0.000808625336927224,18555,18470,18590,894
2021-08-17 09:30:00,2021-08-17 09:30:00,18550,55,0.00297377669640443,18420,18315,18555,1625
2021-08-16 17:00:00,2021-08-16 17:00:00,18495,40,0.00216743429964779,18455,18455,18550,5372
2021-08-16 16:30:00,2021-08-16 16:30:00,18455,40,0.00217214227531903,18410,18400,18525,1318
2021-08-16 16:00:00,2021-08-16 16:00:00,18415,-60,-0.00324763193504736,18480,18415,18510,1082
2021-08-16 15:30:00,2021-08-16 15:30:00,18475,25,0.0013550135501355,18450,18450,18530,818
2021-08-16 15:00:00,2021-08-16 15:00:00,18450,-5,-0.000270929287455974,18460,18395,18500,886
2021-08-16 14:30:00,2021-08-16 14:30:00,18455,20,0.0010848928668294,18435,18375,18455,401
2021-08-16 14:00:00,2021-08-16 14:00:00,18435,75,0.00408496732026144,18360,18355,18470,591
2021-08-16 13:30:00,2021-08-16 13:30:00,18360,55,0.00300464354001639,18310,18275,18385,481
2021-08-16 13:00:00,2021-08-16 13:00:00,18305,45,0.00246440306681271,18260,18260,18320,528
2021-08-16 12:30:00,2021-08-16 12:30:00,18260,20,0.00109649122807018,18250,18240,18310,491
2021-08-16 12:00:00,2021-08-16 12:00:00,18240,-100,-0.0054525627044711,18335,18230,18370,709
2021-08-16 11:30:00,2021-08-16 11:30:00,18340,20,0.00109170305676856,18320,18265,18350,884
2021-08-16 11:00:00,2021-08-16 11:00:00,18320,-70,-0.00380641653072322,18385,18320,18430,1093
2021-08-16 10:30:00,2021-08-16 10:30:00,18390,-115,-0.00621453661172656,18500,18385,18500,710
2021-08-16 10:00:00,2021-08-16 10:00:00,18505,-40,-0.00215691561067673,18550,18460,18570,534
2021-08-16 09:30:00,2021-08-16 09:30:00,18545,-70,-0.0037604082728982,18550,18335,18555,1681
2021-08-13 17:00:00,2021-08-13 17:00:00,18615,-35,-0.00187667560321716,18645,18615,18675,7474
2021-08-13 16:30:00,2021-08-13 16:30:00,18650,-35,-0.00187316028900187,18685,18620,18685,1587
2021-08-13 16:00:00,2021-08-13 16:00:00,18685,-80,-0.00426325606181721,18760,18685,18760,1380
2021-08-13 15:30:00,2021-08-13 15:30:00,18765,-25,-0.00133049494411921,18780,18710,18790,1098
2021-08-13 15:00:00,2021-08-13 15:00:00,18790,20,0.00106553010122536,18765,18750,18845,631
2021-08-13 14:30:00,2021-08-13 14:30:00,18770,-100,-0.00529941706412295,18865,18760,18865,1235
2021-08-13 14:00:00,2021-08-13 14:00:00,18870,-30,-0.00158730158730159,18905,18860,18905,629
2021-08-13 13:30:00,2021-08-13 13:30:00,18900,-15,-0.000793021411578113,18925,18880,18965,908
2021-08-13 13:00:00,2021-08-13 13:00:00,18915,95,0.00504782146652497,18815,18810,18915,902
2021-08-13 12:30:00,2021-08-13 12:30:00,18820,-80,-0.00423280423280423,18900,18810,18920,981
2021-08-13 12:00:00,2021-08-13 12:00:00,18900,-40,-0.00211193241816262,18935,18875,18940,957
2021-08-13 11:30:00,2021-08-13 11:30:00,18940,-65,-0.00342015259142331,19000,18940,19000,1258
2021-08-13 11:00:00,2021-08-13 11:00:00,19005,-40,-0.00210028878970859,19040,18930,19040,1382
2021-08-13 10:30:00,2021-08-13 10:30:00,19045,-40,-0.00209588682211161,19095,19045,19150,2132
2021-08-13 10:00:00,2021-08-13 10:00:00,19085,-125,-0.00650702758979698,19200,19060,19210,1475
2021-08-13 09:30:00,2021-08-13 09:30:00,19210,160,0.0083989501312336,19050,19050,19320,3732
2021-08-12 17:00:00,2021-08-12 17:00:00,19050,100,0.00527704485488127,18955,18925,19050,7846
2021-08-12 16:30:00,2021-08-12 16:30:00,18950,125,0.00664010624169987,18830,18815,18965,2220
2021-08-12 16:00:00,2021-08-12 16:00:00,18825,-140,-0.00738201950962299,18965,18820,18990,2426
2021-08-12 15:30:00,2021-08-12 15:30:00,18965,60,0.00317376355461518,18910,18855,18975,1466
2021-08-12 15:00:00,2021-08-12 15:00:00,18905,75,0.0039830058417419,18825,18825,18925,2544
2021-08-12 14:30:00,2021-08-12 14:30:00,18830,75,0.00399893361770195,18760,18760,18850,1211
2021-08-12 14:00:00,2021-08-12 14:00:00,18755,135,0.00725026852846402,18630,18620,18775,1761
2021-08-12 13:30:00,2021-08-12 13:30:00,18620,-25,-0.00134084204880665,18650,18600,18650,432
2021-08-12 13:00:00,2021-08-12 13:00:00,18645,10,0.000536624631070566,18635,18615,18665,418
2021-08-12 12:30:00,2021-08-12 12:30:00,18635,65,0.00350026925148088,18575,18565,18640,833
2021-08-12 12:00:00,2021-08-12 12:00:00,18570,90,0.00487012987012987,18490,18485,18575,1217
2021-08-12 11:30:00,2021-08-12 11:30:00,18480,-35,-0.00189035916824197,18515,18450,18525,692
2021-08-12 11:00:00,2021-08-12 11:00:00,18515,15,0.000810810810810811,18505,18475,18540,907
2021-08-12 10:30:00,2021-08-12 10:30:00,18500,65,0.00352590181719555,18430,18355,18520,1648
2021-08-12 10:00:00,2021-08-12 10:00:00,18435,145,0.00792782941498086,18285,18285,18480,2052
2021-08-12 09:30:00,2021-08-12 09:30:00,18290,-215,-0.0116184814914888,18475,18230,18565,3834
2021-08-11 17:00:00,2021-08-11 17:00:00,18505,-105,-0.00564212788823213,18615,18390,18615,11081
2021-08-11 16:30:00,2021-08-11 16:30:00,18610,-180,-0.00957956359765833,18785,18585,18790,2017
2021-08-11 16:00:00,2021-08-11 16:00:00,18790,-55,-0.00291854603343062,18840,18760,18840,1584
2021-08-11 15:30:00,2021-08-11 15:30:00,18845,85,0.00453091684434968,18765,18755,18855,2344
2021-08-11 15:00:00,2021-08-11 15:00:00,18760,100,0.00535905680600214,18665,18635,18790,2396
2021-08-11 14:30:00,2021-08-11 14:30:00,18660,-75,-0.00400320256204964,18730,18600,18735,1318
